"","Accession","Description"
"7174","P97950","Ras-related protein Rab-33A OS=Mus musculus OX=10090 GN=Rab33a PE=2 SV=1"
"7175","Q9R1V7","Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus OX=10090 GN=Adam23 PE=1 SV=1"
"7176","Q810A1","Zinc finger protein 18 OS=Mus musculus OX=10090 GN=Znf18 PE=2 SV=1"
"7177","Q8VEK3","Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus OX=10090 GN=Hnrnpu PE=1 SV=1"
"7178","Q9DBU5","E3 ubiquitin-protein ligase RNF6 OS=Mus musculus OX=10090 GN=Rnf6 PE=1 SV=1"
"7179","P58686","UPF0184 protein C9orf16 homolog OS=Mus musculus OX=10090 PE=3 SV=1"
"7180","Q91ZR4","Serine/threonine-protein kinase Nek8 OS=Mus musculus OX=10090 GN=Nek8 PE=1 SV=1"
"7181","Q9WVC3","Caveolin-2 OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1"
"7182","Q8BGC4","Prostaglandin reductase-3 OS=Mus musculus OX=10090 GN=Zadh2 PE=1 SV=1"
"7183","P63002","TLE family member 5 OS=Mus musculus OX=10090 GN=Tle5 PE=1 SV=1"
"7184","Q6X893","Choline transporter-like protein 1 OS=Mus musculus OX=10090 GN=Slc44a1 PE=1 SV=3"
"7185","Q8R0J4","Transmembrane protein 134 OS=Mus musculus OX=10090 GN=Tmem134 PE=1 SV=1"
"7186","Q9QYB1","Chloride intracellular channel protein 4 OS=Mus musculus OX=10090 GN=Clic4 PE=1 SV=3"
"7187","A2AVJ5","Proline-rich protein 5-like OS=Mus musculus OX=10090 GN=Prr5l PE=1 SV=1"
"7188","Q9DBC0","Protein adenylyltransferase SelO, mitochondrial OS=Mus musculus OX=10090 GN=Selenoo PE=1 SV=4"
"7189","Q8R035","Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl58 PE=1 SV=1"
"7190","Q9WUB7","Chloride channel protein ClC-Ka OS=Mus musculus OX=10090 GN=Clcnka PE=1 SV=2"
"7191","Q99N32","Beta-klotho OS=Mus musculus OX=10090 GN=Klb PE=1 SV=1"
"7192","Q9Z0N2","Eukaryotic translation initiation factor 2 subunit 3, Y-linked OS=Mus musculus OX=10090 GN=Eif2s3y PE=1 SV=2"
"7193","Q91V16","Electron transfer flavoprotein regulatory factor 1 OS=Mus musculus OX=10090 GN=Etfrf1 PE=1 SV=1"
"7194","A2AGL3","Ryanodine receptor 3 OS=Mus musculus OX=10090 GN=Ryr3 PE=1 SV=1"
"7195","Q99N89","39S ribosomal protein L43, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl43 PE=1 SV=1"
"7196","Q8C6I2","Succinate dehydrogenase assembly factor 2, mitochondrial OS=Mus musculus OX=10090 GN=Sdhaf2 PE=1 SV=1"
"7197","P57680","Ellis-van Creveld syndrome protein homolog OS=Mus musculus OX=10090 GN=Evc PE=1 SV=2"
"7198","P61089","Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1"
"7199","Q8BPU7","Engulfment and cell motility protein 1 OS=Mus musculus OX=10090 GN=Elmo1 PE=1 SV=2"
"7200","Q8BK48","Pyrethroid hydrolase Ces2e OS=Mus musculus OX=10090 GN=Ces2e PE=1 SV=1"
"7201","O88879","Apoptotic protease-activating factor 1 OS=Mus musculus OX=10090 GN=Apaf1 PE=1 SV=3"
"7202","Q61730","Interleukin-1 receptor accessory protein OS=Mus musculus OX=10090 GN=Il1rap PE=1 SV=1"
"7203","O55128","Histone deacetylase complex subunit SAP18 OS=Mus musculus OX=10090 GN=Sap18 PE=1 SV=1"
"7204","Q9WVA3","Mitotic checkpoint protein BUB3 OS=Mus musculus OX=10090 GN=Bub3 PE=1 SV=2"
"7205","Q9JK38","Glucosamine 6-phosphate N-acetyltransferase OS=Mus musculus OX=10090 GN=Gnpnat1 PE=1 SV=1"
"7206","Q9WTW4","Transcription factor EC OS=Mus musculus OX=10090 GN=Tfec PE=1 SV=1"
"7207","cRAP057","Keratin, type II microfibrillar, component 5 OS=Ovis aries PE=1 SV=1"
"7208","P10711","Transcription elongation factor A protein 1 OS=Mus musculus OX=10090 GN=Tcea1 PE=1 SV=2"
"7209","Q923S6","E3 ubiquitin-protein ligase NEURL1 OS=Mus musculus OX=10090 GN=Neurl1 PE=1 SV=1"
"7210","Q8CJ67","Double-stranded RNA-binding protein Staufen homolog 2 OS=Mus musculus OX=10090 GN=Stau2 PE=1 SV=1"
"7211","Q9DB27","Malignant T-cell-amplified sequence 1 OS=Mus musculus OX=10090 GN=Mcts1 PE=1 SV=1"
"7212","Q9D9N8","Protease-associated domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pradc1 PE=1 SV=1"
"7213","Q8BYW9","EGF domain-specific O-linked N-acetylglucosamine transferase OS=Mus musculus OX=10090 GN=Eogt PE=1 SV=1"
"7214","B1AZ99","OTU domain-containing protein 3 OS=Mus musculus OX=10090 GN=Otud3 PE=1 SV=1"
"7215","Q9JMB8","Contactin-6 OS=Mus musculus OX=10090 GN=Cntn6 PE=1 SV=2"
"7216","Q9WTR2","Mitogen-activated protein kinase kinase kinase 6 OS=Mus musculus OX=10090 GN=Map3k6 PE=1 SV=4"
"7217","Q8VCE6","5'(3')-deoxyribonucleotidase, mitochondrial OS=Mus musculus OX=10090 GN=Nt5m PE=1 SV=1"
"7218","Q91WD4","UPF0415 protein C7orf25 homolog OS=Mus musculus OX=10090 PE=2 SV=1"
"7219","Q8R3B1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 OS=Mus musculus OX=10090 GN=Plcd1 PE=1 SV=2"
"7220","Q3TPX4","Exocyst complex component 5 OS=Mus musculus OX=10090 GN=Exoc5 PE=1 SV=2"
"7221","Q80TN4","DnaJ homolog subfamily C member 16 OS=Mus musculus OX=10090 GN=Dnajc16 PE=1 SV=2"
"7222","Q80UG2","Plexin-A4 OS=Mus musculus OX=10090 GN=Plxna4 PE=1 SV=3"
"7223","Q3TLP5","Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Echdc2 PE=1 SV=2"
"7224","P62245","40S ribosomal protein S15a OS=Mus musculus OX=10090 GN=Rps15a PE=1 SV=2"
"7225","Q8VE65","Transcription initiation factor TFIID subunit 12 OS=Mus musculus OX=10090 GN=Taf12 PE=1 SV=1"
"7226","Q9JM52","Misshapen-like kinase 1 OS=Mus musculus OX=10090 GN=Mink1 PE=1 SV=3"
"7227","Q5SUQ9","CST complex subunit CTC1 OS=Mus musculus OX=10090 GN=Ctc1 PE=1 SV=2"
"7228","P54761","Ephrin type-B receptor 4 OS=Mus musculus OX=10090 GN=Ephb4 PE=1 SV=2"
"7229","Q78JN3","Enoyl-CoA delta isomerase 3, peroxisomal OS=Mus musculus OX=10090 GN=Eci3 PE=1 SV=1"
"7230","Q99M51","Cytoplasmic protein NCK1 OS=Mus musculus OX=10090 GN=Nck1 PE=1 SV=1"
"7231","P52332","Tyrosine-protein kinase JAK1 OS=Mus musculus OX=10090 GN=Jak1 PE=1 SV=1"
"7232","Q9WUK2","Eukaryotic translation initiation factor 4H OS=Mus musculus OX=10090 GN=Eif4h PE=1 SV=3"
"7233","Q64435","UDP-glucuronosyltransferase 1-6 OS=Mus musculus OX=10090 GN=Ugt1a6 PE=1 SV=1"
"7234","Q9CY58","Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus OX=10090 GN=Serbp1 PE=1 SV=2"
"7235","P70460","Vasodilator-stimulated phosphoprotein OS=Mus musculus OX=10090 GN=Vasp PE=1 SV=4"
"7236","P56581","G/T mismatch-specific thymine DNA glycosylase OS=Mus musculus OX=10090 GN=Tdg PE=1 SV=2"
"7237","D3Z3K2","E3 ubiquitin-protein ligase CCNB1IP1 OS=Mus musculus OX=10090 GN=Ccnb1ip1 PE=1 SV=1"
"7238","Q91W97","Putative hexokinase HKDC1 OS=Mus musculus OX=10090 GN=Hkdc1 PE=2 SV=1"
"7239","Q64512","Tyrosine-protein phosphatase non-receptor type 13 OS=Mus musculus OX=10090 GN=Ptpn13 PE=1 SV=2"
"7240","Q9CR50","RING finger and CHY zinc finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rchy1 PE=1 SV=1"
"7241","Q3TZZ7","Extended synaptotagmin-2 OS=Mus musculus OX=10090 GN=Esyt2 PE=1 SV=1"
"7242","Q3TDN2","FAS-associated factor 2 OS=Mus musculus OX=10090 GN=Faf2 PE=1 SV=2"
"7243","Q4KL35","PDZ domain-containing protein MAGIX OS=Mus musculus OX=10090 GN=Magix PE=1 SV=1"
"7244","Q9EP73","Programmed cell death 1 ligand 1 OS=Mus musculus OX=10090 GN=Cd274 PE=1 SV=1"
"7245","Q3V3R4","Integrin alpha-1 OS=Mus musculus OX=10090 GN=Itga1 PE=1 SV=2"
"7246","Q64516","Glycerol kinase OS=Mus musculus OX=10090 GN=Gk PE=1 SV=2"
"7247","Q68FE6","Rho family-interacting cell polarization regulator 1 OS=Mus musculus OX=10090 GN=Ripor1 PE=1 SV=2"
"7248","Q9CWR2","Histone-lysine N-methyltransferase SMYD3 OS=Mus musculus OX=10090 GN=Smyd3 PE=2 SV=1"
"7249","P16125","L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2"
"7250","P63163","Small nuclear ribonucleoprotein-associated protein N OS=Mus musculus OX=10090 GN=Snrpn PE=1 SV=1"
"7251","P08752","Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Mus musculus OX=10090 GN=Gnai2 PE=1 SV=5"
"7252","Q78ZA7","Nucleosome assembly protein 1-like 4 OS=Mus musculus OX=10090 GN=Nap1l4 PE=1 SV=1"
"7253","Q61781","Keratin, type I cytoskeletal 14 OS=Mus musculus OX=10090 GN=Krt14 PE=1 SV=2"
"7254","Q9D0L4","Uncharacterized aarF domain-containing protein kinase 1 OS=Mus musculus OX=10090 GN=Adck1 PE=1 SV=1"
"7255","Q8BJA2","Solute carrier family 41 member 1 OS=Mus musculus OX=10090 GN=Slc41a1 PE=2 SV=1"
"7256","Q8C0P7","E3 SUMO-protein ligase ZNF451 OS=Mus musculus OX=10090 GN=Znf451 PE=1 SV=1"
"7257","Q6ZWM4","U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus OX=10090 GN=Lsm8 PE=1 SV=3"
"7258","Q99MN9","Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus OX=10090 GN=Pccb PE=1 SV=2"
"7259","Q8CCA0","DCN1-like protein 4 OS=Mus musculus OX=10090 GN=Dcun1d4 PE=2 SV=1"
"7260","Q9JMB0","G kinase-anchoring protein 1 OS=Mus musculus OX=10090 GN=Gkap1 PE=1 SV=1"
"7261","Q62442","Vesicle-associated membrane protein 1 OS=Mus musculus OX=10090 GN=Vamp1 PE=1 SV=1"
"7262","Q99ME9","Nucleolar GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp4 PE=1 SV=3"
"7263","Q9D0I4","Syntaxin-17 OS=Mus musculus OX=10090 GN=Stx17 PE=1 SV=1"
"7264","P84309","Adenylate cyclase type 5 OS=Mus musculus OX=10090 GN=Adcy5 PE=1 SV=2"
"7265","O70555","Small proline-rich protein 2D OS=Mus musculus OX=10090 GN=Sprr2d PE=2 SV=1"
"7266","Q9CQT2","RNA-binding protein 7 OS=Mus musculus OX=10090 GN=Rbm7 PE=1 SV=1"
"7267","Q9CXY9","GPI-anchor transamidase OS=Mus musculus OX=10090 GN=Pigk PE=1 SV=2"
"7268","Q11136","Xaa-Pro dipeptidase OS=Mus musculus OX=10090 GN=Pepd PE=1 SV=3"
"7269","Q9ERL7","Glia maturation factor gamma OS=Mus musculus OX=10090 GN=Gmfg PE=1 SV=1"
"7270","Q9WV84","Nucleoside diphosphate kinase, mitochondrial OS=Mus musculus OX=10090 GN=Nme4 PE=1 SV=1"
"7271","Q8JZX4","Splicing factor 45 OS=Mus musculus OX=10090 GN=Rbm17 PE=1 SV=1"
"7272","Q9Z2D1","Myotubularin-related protein 2 OS=Mus musculus OX=10090 GN=Mtmr2 PE=1 SV=3"
"7273","Q91VM5","RNA binding motif protein, X-linked-like-1 OS=Mus musculus OX=10090 GN=Rbmxl1 PE=2 SV=1"
"7274","Q9CY45","EEF1A lysine methyltransferase 1 OS=Mus musculus OX=10090 GN=Eef1akmt1 PE=1 SV=1"
"7275","Q9D6R2","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Idh3a PE=1 SV=1"
"7276","Q9D832","DnaJ homolog subfamily B member 4 OS=Mus musculus OX=10090 GN=Dnajb4 PE=1 SV=1"
"7277","Q8BH66","Atlastin-1 OS=Mus musculus OX=10090 GN=Atl1 PE=1 SV=1"
"7278","Q9R0A1","Chloride channel protein 2 OS=Mus musculus OX=10090 GN=Clcn2 PE=1 SV=2"
"7279","Q9CXG3","Peptidyl-prolyl cis-trans isomerase-like 4 OS=Mus musculus OX=10090 GN=Ppil4 PE=1 SV=2"
"7280","Q925I1","ATPase family AAA domain-containing protein 3 OS=Mus musculus OX=10090 GN=Atad3 PE=1 SV=1"
"7281","Q5EBG8","Uncharacterized protein C1orf50 homolog OS=Mus musculus OX=10090 PE=1 SV=1"
"7282","P80318","T-complex protein 1 subunit gamma OS=Mus musculus OX=10090 GN=Cct3 PE=1 SV=1"
"7283","P62196","26S proteasome regulatory subunit 8 OS=Mus musculus OX=10090 GN=Psmc5 PE=1 SV=1"
"7284","Q3THK7","GMP synthase [glutamine-hydrolyzing] OS=Mus musculus OX=10090 GN=Gmps PE=1 SV=2"
"7285","Q8CI33","CWF19-like protein 1 OS=Mus musculus OX=10090 GN=Cwf19l1 PE=1 SV=2"
"7286","Q6IFX3","Keratin, type I cytoskeletal 40 OS=Mus musculus OX=10090 GN=Krt40 PE=2 SV=1"
"7287","Q91V61","Sideroflexin-3 OS=Mus musculus OX=10090 GN=Sfxn3 PE=1 SV=1"
"7288","Q9CXP8","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Mus musculus OX=10090 GN=Gng10 PE=3 SV=1"
"7289","Q8BMA5","Protein NPAT OS=Mus musculus OX=10090 GN=Npat PE=1 SV=2"
"7290","Q3U6U5","Putative GTP-binding protein 6 OS=Mus musculus OX=10090 GN=Gtpbp6 PE=1 SV=1"
"7291","P62500","TSC22 domain family protein 1 OS=Mus musculus OX=10090 GN=Tsc22d1 PE=1 SV=2"
"7292","P10493","Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2"
"7293","Q80X95","Ras-related GTP-binding protein A OS=Mus musculus OX=10090 GN=Rraga PE=1 SV=1"
"7294","Q9Z0U1","Tight junction protein ZO-2 OS=Mus musculus OX=10090 GN=Tjp2 PE=1 SV=2"
"7295","O35344","Importin subunit alpha-4 OS=Mus musculus OX=10090 GN=Kpna3 PE=1 SV=1"
"7296","Q8VD31","Tapasin-related protein OS=Mus musculus OX=10090 GN=Tapbpl PE=1 SV=2"
"7297","Q02053","Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 GN=Uba1 PE=1 SV=1"
"7298","Q8CB65","Nuclear envelope integral membrane protein 2 OS=Mus musculus OX=10090 GN=Nemp2 PE=2 SV=3"
"7299","O09167","60S ribosomal protein L21 OS=Mus musculus OX=10090 GN=Rpl21 PE=1 SV=3"
"7300","Q8BU30","Isoleucine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Iars PE=1 SV=2"
"7301","Q9D7B1","tRNA-dihydrouridine(20) synthase [NAD(P)+]-like OS=Mus musculus OX=10090 GN=Dus2 PE=1 SV=1"
"7302","Q6PD19","Armadillo-like helical domain-containing protein 3 OS=Mus musculus OX=10090 GN=Armh3 PE=1 SV=2"
"7303","Q8CBQ5","Phosphatidylinositol 4-kinase type 2-beta OS=Mus musculus OX=10090 GN=Pi4k2b PE=1 SV=1"
"7304","Q9Z1G3","V-type proton ATPase subunit C 1 OS=Mus musculus OX=10090 GN=Atp6v1c1 PE=1 SV=4"
"7305","P05480","Neuronal proto-oncogene tyrosine-protein kinase Src OS=Mus musculus OX=10090 GN=Src PE=1 SV=4"
"7306","P97471","Mothers against decapentaplegic homolog 4 OS=Mus musculus OX=10090 GN=Smad4 PE=1 SV=2"
"7307","Q8QZS1","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Hibch PE=1 SV=1"
"7308","P52431","DNA polymerase delta catalytic subunit OS=Mus musculus OX=10090 GN=Pold1 PE=1 SV=2"
"7309","Q9CPW0","Contactin-associated protein-like 2 OS=Mus musculus OX=10090 GN=Cntnap2 PE=1 SV=2"
"7310","Q8BN82","Sialin OS=Mus musculus OX=10090 GN=Slc17a5 PE=1 SV=2"
"7311","Q91XY4","Protocadherin gamma-A4 OS=Mus musculus OX=10090 GN=Pcdhga4 PE=1 SV=1"
"7312","Q8R1A4","Dedicator of cytokinesis protein 7 OS=Mus musculus OX=10090 GN=Dock7 PE=1 SV=3"
"7313","P13595","Neural cell adhesion molecule 1 OS=Mus musculus OX=10090 GN=Ncam1 PE=1 SV=3"
"7314","P47911","60S ribosomal protein L6 OS=Mus musculus OX=10090 GN=Rpl6 PE=1 SV=3"
"7315","Q9DC07","LIM zinc-binding domain-containing Nebulette OS=Mus musculus OX=10090 GN=Nebl PE=1 SV=1"
"7316","Q9D786","HAUS augmin-like complex subunit 5 OS=Mus musculus OX=10090 GN=Haus5 PE=1 SV=1"
"7317","Q80UW8","DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Mus musculus OX=10090 GN=Polr2e PE=1 SV=1"
"7318","Q921C5","Protein bicaudal D homolog 2 OS=Mus musculus OX=10090 GN=Bicd2 PE=1 SV=1"
"7319","Q64442","Sorbitol dehydrogenase OS=Mus musculus OX=10090 GN=Sord PE=1 SV=3"
"7320","Q9CYZ8","Single-stranded DNA-binding protein 2 OS=Mus musculus OX=10090 GN=Ssbp2 PE=1 SV=1"
"7321","Q8R5F3","ADP-ribose glycohydrolase OARD1 OS=Mus musculus OX=10090 GN=Oard1 PE=1 SV=2"
"7322","Q8VGD6","Olfactory receptor 56 OS=Mus musculus OX=10090 GN=Olfr56 PE=2 SV=1"
"7323","Q9WU65","Glycerol kinase 2 OS=Mus musculus OX=10090 GN=Gk2 PE=1 SV=1"
"7324","Q8BGT7","Survival of motor neuron-related-splicing factor 30 OS=Mus musculus OX=10090 GN=Smndc1 PE=1 SV=1"
"7325","Q3UHZ5","Leiomodin-2 OS=Mus musculus OX=10090 GN=Lmod2 PE=1 SV=1"
"7326","O88856","Protein-tyrosine sulfotransferase 2 OS=Mus musculus OX=10090 GN=Tpst2 PE=1 SV=1"
"7327","P68040","Receptor of activated protein C kinase 1 OS=Mus musculus OX=10090 GN=Rack1 PE=1 SV=3"
"7328","Q8VDR9","Dedicator of cytokinesis protein 6 OS=Mus musculus OX=10090 GN=Dock6 PE=1 SV=4"
"7329","O88874","Cyclin-K OS=Mus musculus OX=10090 GN=Ccnk PE=1 SV=3"
"7330","Q920R6","V-type proton ATPase 116 kDa subunit a isoform 4 OS=Mus musculus OX=10090 GN=Atp6v0a4 PE=1 SV=1"
"7331","O35448","Lysosomal thioesterase PPT2 OS=Mus musculus OX=10090 GN=Ppt2 PE=1 SV=1"
"7332","Q8BM72","Heat shock 70 kDa protein 13 OS=Mus musculus OX=10090 GN=Hspa13 PE=1 SV=1"
"7333","cRAP047","Keratin, type I cuticular Ha7 OS=Homo sapiens GN=KRT37 PE=2 SV=3"
"7334","O88492","Perilipin-4 OS=Mus musculus OX=10090 GN=Plin4 PE=1 SV=2"
"7335","Q9CWW7","CXXC-type zinc finger protein 1 OS=Mus musculus OX=10090 GN=Cxxc1 PE=2 SV=1"
"7336","P99028","Cytochrome b-c1 complex subunit 6, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrh PE=1 SV=2"
"7337","Q9WUM3","Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1"
"7338","Q9WTM5","RuvB-like 2 OS=Mus musculus OX=10090 GN=Ruvbl2 PE=1 SV=3"
"7339","O09159","Lysosomal alpha-mannosidase OS=Mus musculus OX=10090 GN=Man2b1 PE=1 SV=4"
"7340","O08664","B-cell CLL/lymphoma 7 protein family member C OS=Mus musculus OX=10090 GN=Bcl7c PE=1 SV=1"
"7341","Q8BW22","Calcium-responsive transactivator OS=Mus musculus OX=10090 GN=Ss18l1 PE=1 SV=1"
"7342","Q9D2V8","Major facilitator superfamily domain-containing protein 10 OS=Mus musculus OX=10090 GN=Mfsd10 PE=1 SV=1"
"7343","Q8R5K4","Nucleolar protein 6 OS=Mus musculus OX=10090 GN=Nol6 PE=2 SV=2"
"7344","P03953","Complement factor D OS=Mus musculus OX=10090 GN=Cfd PE=1 SV=1"
"7345","A6BLY7","Keratin, type I cytoskeletal 28 OS=Mus musculus OX=10090 GN=Krt28 PE=1 SV=1"
"7346","P40224","Stromal cell-derived factor 1 OS=Mus musculus OX=10090 GN=Cxcl12 PE=2 SV=2"
"7347","Q62407","Striated muscle-specific serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Speg PE=1 SV=2"
"7348","Q9Z2W1","Serine/threonine-protein kinase 25 OS=Mus musculus OX=10090 GN=Stk25 PE=1 SV=2"
"7349","O88199","Carbohydrate sulfotransferase 3 OS=Mus musculus OX=10090 GN=Chst3 PE=2 SV=1"
"7350","Q9D920","BLOC-1-related complex subunit 5 OS=Mus musculus OX=10090 GN=Borcs5 PE=1 SV=1"
"7351","Q05117","Tartrate-resistant acid phosphatase type 5 OS=Mus musculus OX=10090 GN=Acp5 PE=1 SV=2"
"7352","Q91YJ3","Thymocyte nuclear protein 1 OS=Mus musculus OX=10090 GN=Thyn1 PE=1 SV=1"
"7353","Q3UGC7","Eukaryotic translation initiation factor 3 subunit J-A OS=Mus musculus OX=10090 GN=Eif3j1 PE=2 SV=1"
"7354","Q64487","Receptor-type tyrosine-protein phosphatase delta OS=Mus musculus OX=10090 GN=Ptprd PE=1 SV=3"
"7355","Q6SKR2","Methyltransferase N6AMT1 OS=Mus musculus OX=10090 GN=N6amt1 PE=1 SV=1"
"7356","P27681","Gamma-aminobutyric acid receptor subunit gamma-3 OS=Mus musculus OX=10090 GN=Gabrg3 PE=2 SV=2"
"7357","B2RS91","RNA polymerase I-specific transcription initiation factor RRN3 OS=Mus musculus OX=10090 GN=Rrn3 PE=1 SV=1"
"7358","Q3TIX9","U4/U6.U5 tri-snRNP-associated protein 2 OS=Mus musculus OX=10090 GN=Usp39 PE=1 SV=2"
"7359","Q61824","Disintegrin and metalloproteinase domain-containing protein 12 OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=2"
"7360","Q8VEL0","Motile sperm domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mospd1 PE=1 SV=1"
"7361","Q9EQN9","Thiamine transporter 1 OS=Mus musculus OX=10090 GN=Slc19a2 PE=1 SV=1"
"7362","Q6Y7W8","GRB10-interacting GYF protein 2 OS=Mus musculus OX=10090 GN=Gigyf2 PE=1 SV=2"
"7363","Q8BVY0","Ribosomal L1 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rsl1d1 PE=1 SV=1"
"7364","P11688","Integrin alpha-5 OS=Mus musculus OX=10090 GN=Itga5 PE=1 SV=3"
"7365","Q3TDQ1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Mus musculus OX=10090 GN=Stt3b PE=1 SV=2"
"7366","P97314","Cysteine and glycine-rich protein 2 OS=Mus musculus OX=10090 GN=Csrp2 PE=1 SV=3"
"7367","Q6PGN3","Serine/threonine-protein kinase DCLK2 OS=Mus musculus OX=10090 GN=Dclk2 PE=1 SV=1"
"7368","P48428","Tubulin-specific chaperone A OS=Mus musculus OX=10090 GN=Tbca PE=1 SV=3"
"7369","O54983","Ketimine reductase mu-crystallin OS=Mus musculus OX=10090 GN=Crym PE=1 SV=1"
"7370","O88708","Origin recognition complex subunit 4 OS=Mus musculus OX=10090 GN=Orc4 PE=1 SV=2"
"7371","P16381","Putative ATP-dependent RNA helicase Pl10 OS=Mus musculus OX=10090 GN=D1Pas1 PE=1 SV=1"
"7372","Q9WV04","Kinesin-like protein KIF9 OS=Mus musculus OX=10090 GN=Kif9 PE=1 SV=2"
"7373","Q8BWZ3","N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Mus musculus OX=10090 GN=Naa25 PE=1 SV=1"
"7374","O88384","Vesicle transport through interaction with t-SNAREs homolog 1B OS=Mus musculus OX=10090 GN=Vti1b PE=1 SV=1"
"7375","Q9Z1T6","1-phosphatidylinositol 3-phosphate 5-kinase OS=Mus musculus OX=10090 GN=Pikfyve PE=1 SV=3"
"7376","P52633","Signal transducer and transcription activator 6 OS=Mus musculus OX=10090 GN=Stat6 PE=1 SV=2"
"7377","Q8C080","Sorting nexin-16 OS=Mus musculus OX=10090 GN=Snx16 PE=1 SV=2"
"7378","P57776","Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=3"
"7379","Q5SSE9","ATP-binding cassette sub-family A member 13 OS=Mus musculus OX=10090 GN=Abca13 PE=2 SV=1"
"7380","Q8CFJ7","Solute carrier family 25 member 45 OS=Mus musculus OX=10090 GN=Slc25a45 PE=1 SV=1"
"7381","A2AQP0","Myosin-7B OS=Mus musculus OX=10090 GN=Myh7b PE=3 SV=1"
"7382","P42567","Epidermal growth factor receptor substrate 15 OS=Mus musculus OX=10090 GN=Eps15 PE=1 SV=1"
"7383","P27046","Alpha-mannosidase 2 OS=Mus musculus OX=10090 GN=Man2a1 PE=1 SV=2"
"7384","Q99K51","Plastin-3 OS=Mus musculus OX=10090 GN=Pls3 PE=1 SV=3"
"7385","Q8BWP8","Beta-1,4-glucuronyltransferase 1 OS=Mus musculus OX=10090 GN=B4gat1 PE=1 SV=1"
"7386","O35954","Membrane-associated phosphatidylinositol transfer protein 1 OS=Mus musculus OX=10090 GN=Pitpnm1 PE=1 SV=1"
"7387","Q922U2","Keratin, type II cytoskeletal 5 OS=Mus musculus OX=10090 GN=Krt5 PE=1 SV=1"
"7388","Q925N1","Sideroflexin-4 OS=Mus musculus OX=10090 GN=Sfxn4 PE=2 SV=2"
"7389","Q8VCF1","Soluble calcium-activated nucleotidase 1 OS=Mus musculus OX=10090 GN=Cant1 PE=2 SV=1"
"7390","P23780","Beta-galactosidase OS=Mus musculus OX=10090 GN=Glb1 PE=1 SV=1"
"7391","Q9DCJ5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus OX=10090 GN=Ndufa8 PE=1 SV=3"
"7392","P08003","Protein disulfide-isomerase A4 OS=Mus musculus OX=10090 GN=Pdia4 PE=1 SV=3"
"7393","Q91W86","Vacuolar protein sorting-associated protein 11 homolog OS=Mus musculus OX=10090 GN=Vps11 PE=1 SV=3"
"7394","Q9CQI9","Mediator of RNA polymerase II transcription subunit 30 OS=Mus musculus OX=10090 GN=Med30 PE=1 SV=1"
"7395","Q8K3A0","Iron-sulfur cluster co-chaperone protein HscB OS=Mus musculus OX=10090 GN=Hscb PE=1 SV=2"
"7396","Q8JZX9","Cdc42 effector protein 2 OS=Mus musculus OX=10090 GN=Cdc42ep2 PE=1 SV=1"
"7397","Q61190","Interleukin-10 receptor subunit beta OS=Mus musculus OX=10090 GN=Il10rb PE=1 SV=1"
"7398","O08580","Steroid hormone receptor ERR1 OS=Mus musculus OX=10090 GN=Esrra PE=1 SV=4"
"7399","Q9QZM4","Tumor necrosis factor receptor superfamily member 10B OS=Mus musculus OX=10090 GN=Tnfrsf10b PE=2 SV=3"
